Rank,Destination AS,Organization,Number of ASes set prefix policy for it
297,AS55406,"HRC Technologies Ltd",132
298,AS46160,"Skytap, Inc",132
299,AS27947,"Telconet S.A",131
300,AS7540,"IXTech Limited",131
301,AS12980,"AT&T Global Network Services Nederland B.V.",131
302,AS36131,"PageBites, Inc.",131
303,AS20258,"Analog Devices, Inc.",131
304,AS7590,"COMSATS",131
305,AS45528,"Tikona Infinet Ltd.",130
306,AS37963,"Hangzhou Alibaba Advertising Co.,Ltd.",130
307,AS57168,"Amito Ltd",130
308,AS20249,"Jefferies LLC",129
309,AS49056,"Inel Internacional Dooel Kavadarci",128
310,AS22332,"Western Digital Corporation",128
311,AS15830,"TELECITYGROUP INTERNATIONAL LIMITED",127
312,AS37027,"Simbanet (T) Limited",127
313,AS3561,"CenturyLink Communications, LLC",127
314,AS7029,"Windstream Communications LLC",126
315,AS12400,"Partner Communications Ltd.",126
316,AS4195,"D. E. Shaw & Co.",126
317,AS4830,"Vodafone New Zealand Limited",126
318,AS58084,"Newcontact ltd.",126
319,AS52890,"Centro Integrado de Telemática do Exército",125
320,AS57363,"CDNvideo LLC",125
321,AS6640,"CenturyLink Communications, LLC",124
322,AS38661,"purplestones",124
323,AS32934,"Facebook, Inc.",124
324,AS11892,"NCS Pearson Inc.",124
325,AS44646,"Gamesys Ltd.",124
326,AS13124,"A1 Bulgaria EAD",123
327,AS12257,"EMC Corporation",123
328,AS132384,"Deloitte Consulting India Pvt. Ltd",123
329,AS17639,"ComClark Network & Technology Corp",122
330,AS45634,"Sparkstation Pte Ltd",122
331,AS30383,"General Motors LLC",122
332,AS56272,"Pulse Telesystems Pvt Ltd",122
333,AS34224,"Neterra Ltd.",122
334,AS14010,"Jack Henry & Associates, Inc.",122
335,AS8151,"Uninet S.A. de C.V.",121
336,AS21866,"LogMeIn, Inc.",121
337,AS25549,"JSC Avantel",121
338,AS27787,"LOS AMORES S.A.",121
339,AS55990,"Huawei",121
340,AS17444,"New World Telecommunications Limited",120
341,AS197071,"Dennis Rainer Warnholz trading as active-servers.com",120
342,AS61102,"Interhost Communication Solutions Ltd.",119
343,AS37004,"Suburban Broadband Ltd",119
344,AS2906,"Netflix Streaming Services Inc.",119
345,AS42,"WoodyNet",119
346,AS3132,"Red Cientifica Peruana",119
347,AS132976,"Kings Broadband Pvt Ltd",119
348,AS4237,"Computer Sciences Corporation",119
349,AS45458,"ADVANCED WIRELESS NETWORK COMPANY LIMITED",119
350,AS21575,"ENTEL PERU S.A.",119
351,AS27768,"CO.PA.CO.",118
352,AS34296,"MILLENI.COM",118
353,AS9830,"SWIFT ONLINE BORDER AS",118
354,AS21599,"Cable Onda",118
355,AS3762,"Instinet",117
356,AS60268,"Digital Communication Company for Telecommunications and Information Technology LTD",117
357,AS9269,"Hong Kong Broadband Network Ltd",116
358,AS31708,"Coreix Ltd",116
359,AS262197,"MILLICOM CABLE COSTA RICA S.A.",116
360,AS21734,"Trading Technologies Intl, Inc.",116
361,AS17924,"Smartone Mobile communications Limited",116
362,AS45271,"Idea Cellular Limited",116
363,AS35567,"DASTO semtel d.o.o.",116
364,AS21595,"Baxter Healthcare",116
365,AS20207,"Gigared S.A.",116
366,AS21183,"ABCOM Shpk",115
367,AS9116,"Partner Communications Ltd.",115
368,AS14210,"MCI Communications Services, Inc. d/b/a Verizon Business",115
369,AS35071,"Xoom Limited",115
370,AS14343,"i2 Technologies Inc.",115
371,AS27263,"Avon Products Incorporated",115
372,AS198089,"IP Visie Networking B.V.",115
373,AS54103,"MOD Mission Critical",114
374,AS17477,"Macquarie Corporate Telecommunications",114
375,AS5740,"WorkForce Software LLC",114
376,AS8068,"Microsoft Corporation",114
377,AS13821,"AllianceBernstein L.P.",114
378,AS27951,"Media Commerce Partners S.A",114
379,AS36032,"WARNER BROS ENTERTAINMENT INC",114
380,AS22822,"Limelight Networks, Inc.",113
381,AS26914,"FusionStorm",113
382,AS9919,"New Century InfoComm Tech Co., Ltd.",112
383,AS199251,"MnogoByte LLC",112
384,AS38107,"CDNetworks",112
385,AS55714,"Fiberlink Pvt.Ltd",112
386,AS35566,"Kar-Tel LLC",112
387,AS36271,"Synacor, Inc.",112
388,AS24507,"Level 29, Tower Building",112
389,AS8262,"Evolink AD",111
390,AS198605,"AVAST Software s.r.o.",111
391,AS59165,"Auspice Infratel Pvt. Ltd.",111
392,AS29046,"Radiobaylanys LLP",111
393,AS59451,"Al-Bank Al-Arabi PLC. CO.",111
394,AS11888,"Television Internacional, S.A. de C.V.",111
395,AS13886,"Cloud South",111
396,AS47887,"AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.",111
397,AS37287,"Zain Zambia PLC",111
398,AS12978,"DEMIROREN TV DIGITAL PLATFORM ISLETMECILIGI A.S.",110
399,AS24084,"HCL Technologies Ltd",110
400,AS34397,"Middle East Internet Company Limited",110
401,AS2854,"LLC Orange Business Services",110
402,AS12075,"Jacobs Engineering Group",110
403,AS17213,"SUPERSAFECLOUD LLC",109
404,AS6619,"SamsungSDS Inc.",109
405,AS45804,"Meghbela Cable & Broadband Services (P) Ltd",109
406,AS4787,"PT. Cyberindo Aditama",109
407,AS23969,"TOT Public Company Limited",109
408,AS16552,"Tiggee LLC",109
409,AS59583,"Network Kazakhstan LLC",109
410,AS13213,"UK-2 Limited",108
411,AS8551,"Bezeq International-Ltd",108
412,AS26940,"Levi Strauss & Co.",108
413,AS38794,"United Information Highway Co.,Ltd.",108
414,AS18438,"Brown Brothers Harriman & Company",108
415,AS27822,"Emerging Markets Communications de Argentina S.R.L",108
416,AS10617,"SION S.A",108
417,AS27343,"Monsanto",108
418,AS45245,"Banglalink GSM",108
419,AS39216,"AL-SARD FIBER Co. for Internet Fiber and Optical Cable Services /Ltd.",108
420,AS42926,"Radore Veri Merkezi Hizmetleri A.S.",107
421,AS1421,"WANSecurity, Inc.",107
422,AS196921,"Wireless Mobile Data Company",107
423,AS23848,"Shenzhen Ping An Communication Technology Co.,Ltd",107
424,AS18734,"Operbes, S.A. de C.V.",106
425,AS19305,"Transaction Network Services, Inc.",106
426,AS21050,"Fast Telecommunications Company W.L.L.",106
427,AS35906,"Traiana, Inc",106
428,AS7552,"Viettel Group",105
429,AS38091,"CJ Hello Co., Ltd.",105
430,AS42994,"Rachamim Aviel Twito trading as A.B INTERNET SOLUTIONS",105
431,AS48695,"Etihad Atheeb Telecom Company",105
432,AS22379,"Manifold Services Inc",104
433,AS12189,"PhoenixNAP LLC",104
434,AS38186,"Forewin Telecom Group Limited",104
435,AS16815,"LogMeIn, Inc.",104
436,AS58424,"Xinwei (Cambodia) Telecom Co. Ltd",104
437,AS10666,"Allergan, Inc.",104
438,AS24000,"LANLIAN INTERNATIONAL HOLDING GROUP LIMITED",104
439,AS55514,"Electricity Generating Authority of Thailand",104
440,AS34984,"TELLCOM ILETISIM HIZMETLERI A.S.",104
441,AS32787,"Akamai Technologies, Inc.",104
442,AS30994,"Kenyan Post & Telecommunications Company / Telkom Kenya Ltd",104
443,AS199610,"marbis GmbH",104
444,AS14398,"Autodesk, Inc.",104
445,AS18190,"Eastern Telecommunications Philippines, Inc.",103
446,AS19812,"RADIANZ Americas, Inc.",103
447,AS56038,"Network Synergy Corporation Pty Ltd",103
448,AS15580,"Allianz Technology SE",103
449,AS23881,"UDomain Web Hosting Company Limited",103
450,AS24323,"aamra networks limited,",103
451,AS8524,"The American University in Cairo (AUC)",103
452,AS42695,"City Network Hosting AB",103
453,AS45753,"Network and Security Solutions Limited",102
454,AS4538,"China Education and Research Network Center",102
455,AS23678,"MyKRIS ASIA Sdn Bhd",102
456,AS17589,"GABIA Inc.",102
457,AS22698,"AVANTEL SAS",102
458,AS11414,"Nvidia Corporation",102
459,AS54154,"Fibersphere Communications, Inc.",102
460,AS59243,"Akatek Solutions, Inc.",102
461,AS327707,"Airtel Rwanda Ltd.",102
